unique_reference_number,authority_code,establishment_type_code,pupil_number,pupil_boys,pupil_girls,gender_type,gender_category,religious_type,religious_classification,percent_pupil_boys,percent_pupil_girls,percent_ehc_plan,percent_sen_support,percent_english_language,percent_not_english_language,percent_free_school_meals,rating
100149,203,1,438,208,230,3,Mixed,2,Not applicable,47,52,2,13,84,15,23,Good
100152,203,1,365,172,193,3,Mixed,2,Not applicable,47,52,2,31,67,31,50,Good
100155,203,1,461,231,230,3,Mixed,2,Not applicable,50,49,2,16,37,62,40,Outstanding
100158,203,1,775,411,364,3,Mixed,2,Not applicable,53,47,0,9,35,63,30,Outstanding
100159,203,1,357,209,148,3,Mixed,2,Not applicable,58,41,1,19,72,27,50,Good
100162,203,1,222,100,122,3,Mixed,2,Not applicable,45,55,3,12,61,38,22,Good
100163,203,1,397,198,199,3,Mixed,2,Not applicable,49,50,2,16,56,43,30,Good
100164,203,1,432,217,215,3,Mixed,2,Not applicable,50,49,3,9,73,26,31,Good
100165,203,2,178,82,96,3,Mixed,1,Church of England,46,53,1,15,70,29,41,Good
100166,203,2,209,105,104,3,Mixed,1,Church of England,50,49,3,15,83,16,15,Good
100167,203,2,457,241,216,3,Mixed,1,Church of England,52,47,3,18,81,18,12,Good
100168,203,2,415,216,199,3,Mixed,4,Roman Catholic,52,48,2,8,77,22,24,Outstanding
100169,203,2,161,78,83,3,Mixed,4,Roman Catholic,48,51,2,15,65,34,49,Good
100170,203,2,297,149,148,3,Mixed,1,Church of England,50,49,2,16,71,28,33,Good
100171,203,2,1708,874,834,3,Mixed,1,Church of England,51,48,1,15,47,51,45,Good
100173,203,2,337,176,161,3,Mixed,4,Roman Catholic,52,47,1,12,56,43,28,Good
100174,203,2,217,91,126,3,Mixed,1,Church of England,41,58,2,12,71,28,45,Good
100175,203,2,205,108,97,3,Mixed,4,Roman Catholic,52,47,1,9,86,13,24,Outstanding
100176,203,2,184,96,88,3,Mixed,4,Roman Catholic,52,47,0,8,80,19,23,Good
100177,203,2,429,200,229,3,Mixed,4,Roman Catholic,46,53,1,8,73,26,31,Good
100178,203,2,152,78,74,3,Mixed,4,Roman Catholic,51,48,2,9,39,60,32,Requires improvement
100179,203,2,177,96,81,3,Mixed,4,Roman Catholic,54,45,1,11,74,25,41,Good
100180,203,2,197,101,96,3,Mixed,4,Roman Catholic,51,48,1,20,43,56,21,Good
100181,203,2,220,101,119,3,Mixed,1,Church of England,45,54,3,12,83,15,30,Good
100182,203,1,1227,49,1178,2,Girls,2,Not applicable,4,96,0,14,78,20,25,Good
100183,203,1,1494,589,905,3,Mixed,2,Not applicable,39,60,3,15,43,56,41,Requires improvement
100190,203,1,2110,1107,1003,3,Mixed,2,Not applicable,52,47,5,19,81,17,30,Good
100193,203,2,631,0,631,2,Girls,4,Roman Catholic,0,100,1,7,81,18,26,Outstanding
100204,203,7,40,40,0,1,Boys,2,Not applicable,100,0,100,0,97,2,72,Good
100212,204,15,91,48,43,3,Mixed,2,Not applicable,52,47,3,0,57,42,0,Outstanding
100213,204,15,121,61,60,3,Mixed,2,Not applicable,50,49,2,31,38,61,0,Outstanding
100218,204,1,452,224,228,3,Mixed,2,Not applicable,49,50,6,14,55,44,50,Good
100223,204,1,450,219,231,3,Mixed,2,Not applicable,48,51,4,12,57,42,42,Good
100225,204,1,273,151,122,3,Mixed,2,Not applicable,55,44,8,15,68,31,54,Good
100229,204,1,398,231,167,3,Mixed,2,Not applicable,58,42,2,10,82,17,32,Good
100230,204,1,431,223,208,3,Mixed,2,Not applicable,51,48,4,18,47,52,29,Outstanding
100231,204,1,658,332,326,3,Mixed,2,Not applicable,50,49,5,11,81,18,24,Good
100232,204,1,455,233,222,3,Mixed,2,Not applicable,51,48,5,26,39,60,56,Outstanding
100234,204,1,628,312,316,3,Mixed,2,Not applicable,49,50,2,19,48,51,54,Good
100235,204,1,420,212,208,3,Mixed,2,Not applicable,50,49,9,18,49,51,39,Outstanding
100239,204,1,221,100,121,3,Mixed,2,Not applicable,45,54,4,9,33,66,47,Good
100240,204,1,412,210,202,3,Mixed,2,Not applicable,51,49,2,14,50,49,45,Outstanding
100241,204,1,471,240,231,3,Mixed,2,Not applicable,51,49,3,11,60,39,30,Outstanding
100242,204,1,370,193,177,3,Mixed,2,Not applicable,52,47,2,21,43,56,46,Outstanding
100243,204,1,206,111,95,3,Mixed,2,Not applicable,53,46,6,26,40,59,58,Good
100244,204,1,290,137,153,3,Mixed,2,Not applicable,47,52,9,24,48,51,51,Good
100245,204,1,418,212,206,3,Mixed,2,Not applicable,50,49,12,13,71,28,51,Outstanding
100248,204,1,667,347,320,3,Mixed,2,Not applicable,52,48,5,10,39,60,53,Good
100250,204,1,225,102,123,3,Mixed,2,Not applicable,45,54,5,16,36,63,58,Outstanding
100251,204,1,226,126,100,3,Mixed,2,Not applicable,55,44,7,24,46,53,46,Good
100252,204,1,206,123,83,3,Mixed,2,Not applicable,59,40,3,9,63,36,18,Good
100253,204,1,426,208,218,3,Mixed,2,Not applicable,48,51,4,12,61,38,25,Good
100254,204,1,221,117,104,3,Mixed,2,Not applicable,52,47,10,16,50,49,44,Good
100256,204,1,191,90,101,3,Mixed,2,Not applicable,47,52,4,17,46,53,43,Good
100257,204,1,212,114,98,3,Mixed,2,Not applicable,53,46,5,13,24,75,36,Outstanding
100258,204,1,467,241,226,3,Mixed,2,Not applicable,51,48,3,10,80,19,24,Outstanding
100259,204,1,210,106,104,3,Mixed,2,Not applicable,50,49,3,8,45,54,41,Good
100260,204,1,296,146,150,3,Mixed,2,Not applicable,49,50,2,24,43,56,46,Good
100261,204,1,261,135,126,3,Mixed,2,Not applicable,51,48,3,19,39,60,63,Good
100263,204,2,270,141,129,3,Mixed,1,Church of England,52,47,5,15,68,31,48,Good
100264,204,2,195,104,91,3,Mixed,4,Roman Catholic,53,46,3,11,78,21,23,Outstanding
100266,204,2,307,149,158,3,Mixed,1,Church of England,48,51,7,16,55,45,56,Outstanding
100267,204,2,163,82,81,3,Mixed,1,Church of England,50,49,3,22,58,41,62,Good
100268,204,2,217,112,105,3,Mixed,4,Roman Catholic,51,48,2,9,22,77,49,Good
100269,204,2,196,87,109,3,Mixed,1,Church of England,44,55,3,22,77,23,59,Outstanding
100270,204,2,132,61,71,3,Mixed,1,Church of England,46,53,4,36,72,27,57,Good
100271,204,2,135,65,70,3,Mixed,1,Church of England,48,51,3,17,65,34,53,Good
100274,204,2,207,107,100,3,Mixed,4,Roman Catholic,51,48,6,19,38,60,70,Good
100275,204,2,112,55,57,3,Mixed,3,Other religion,49,50,6,25,50,49,25,Good
100279,204,1,1708,947,761,3,Mixed,2,Not applicable,55,44,4,16,76,23,37,Good
100282,204,2,576,21,555,2,Girls,4,Roman Catholic,3,96,1,6,46,53,52,Good
100284,204,2,893,531,362,3,Mixed,1,Church of England,59,40,3,25,62,37,71,Good
100285,204,2,1101,577,524,3,Mixed,4,Roman Catholic,52,47,2,16,51,48,57,Good
100287,204,11,196,196,0,1,Boys,2,Not applicable,100,0,2,19,0,0,0,Requires improvement
100289,204,11,887,887,0,1,Boys,2,Not applicable,100,0,1,9,0,0,0,Inadequate
100291,204,11,721,0,721,2,Girls,2,Not applicable,0,100,1,7,0,0,0,Inadequate
100293,204,11,1211,12,1199,3,Mixed,3,Other religion,1,99,2,7,0,0,0,Requires improvement
100294,204,11,642,642,0,1,Boys,3,Other religion,100,0,3,7,0,0,0,Inadequate
100295,204,11,561,12,549,2,Girls,2,Not applicable,2,97,4,16,0,0,0,Good
100296,204,11,245,245,0,1,Boys,2,Not applicable,100,0,4,18,0,0,0,Inadequate
