unique_reference_number,authority_code,establishment_type_code,pupil_number,pupil_boys,pupil_girls,gender_type,gender_category,religious_type,religious_classification,percent_pupil_boys,percent_pupil_girls,percent_ehc_plan,percent_sen_support,percent_english_language,percent_not_english_language,percent_free_school_meals,rating
101745,306,1,263,0,263,2,Girls,2,Not applicable,0,100,0,14,37,62,37,Good
101746,306,1,427,196,231,3,Mixed,2,Not applicable,45,54,2,13,32,67,26,Good
101756,306,1,214,118,96,3,Mixed,2,Not applicable,55,44,1,10,76,23,15,Outstanding
101758,306,1,247,124,123,3,Mixed,2,Not applicable,50,49,0,10,92,7,6,Good
101759,306,1,589,292,297,3,Mixed,2,Not applicable,49,50,1,12,82,17,17,Good
101760,306,1,413,219,194,3,Mixed,2,Not applicable,53,47,1,11,91,8,9,Good
101773,306,1,418,214,204,3,Mixed,2,Not applicable,51,48,1,16,71,28,23,Good
101776,306,1,411,218,193,3,Mixed,2,Not applicable,53,47,1,15,63,36,38,Good
101778,306,1,615,309,306,3,Mixed,2,Not applicable,50,49,0,9,75,24,22,Good
101779,306,1,270,124,146,3,Mixed,2,Not applicable,45,54,1,14,45,54,13,Outstanding
101781,306,1,218,126,92,3,Mixed,2,Not applicable,57,42,1,11,91,8,10,Good
101783,306,1,457,233,224,3,Mixed,2,Not applicable,51,49,1,19,78,21,19,Outstanding
101785,306,1,407,201,206,3,Mixed,2,Not applicable,49,50,2,11,50,49,35,Good
101787,306,2,257,117,140,3,Mixed,1,Church of England,45,54,2,8,62,37,50,Good
101788,306,2,418,217,201,3,Mixed,1,Church of England,51,48,1,8,76,23,10,Outstanding
101792,306,2,206,110,96,3,Mixed,1,Church of England,53,46,5,20,88,11,13,Outstanding
101793,306,2,407,212,195,3,Mixed,1,Church of England,52,47,2,14,58,41,24,Good
101795,306,2,206,105,101,3,Mixed,4,Roman Catholic,51,49,1,24,61,38,43,Outstanding
101797,306,2,201,87,114,3,Mixed,4,Roman Catholic,43,56,2,8,71,28,13,Good
101800,306,2,406,182,224,3,Mixed,4,Roman Catholic,44,55,2,13,72,27,24,Good
101803,306,2,160,71,89,3,Mixed,4,Roman Catholic,44,55,0,18,47,52,33,Good
101811,306,2,764,366,398,3,Mixed,1,Church of England,47,52,2,16,84,15,34,Good
101814,306,2,563,256,307,3,Mixed,4,Roman Catholic,45,54,0,14,36,63,43,Good
101815,306,5,355,181,174,3,Mixed,2,Not applicable,51,49,0,14,74,25,33,Good
101821,306,2,652,386,266,3,Mixed,4,Roman Catholic,59,40,2,13,62,36,40,Good
101843,306,10,29,15,14,3,Mixed,2,Not applicable,51,48,96,3,0,0,0,Good
101849,306,6,1397,493,904,3,Mixed,2,Not applicable,35,64,3,17,98,1,15,Good
101851,306,7,244,170,74,3,Mixed,2,Not applicable,69,30,100,0,75,24,56,Good
101852,306,7,116,66,50,3,Mixed,2,Not applicable,56,43,91,8,65,34,53,Good
101854,306,7,245,178,67,3,Mixed,2,Not applicable,72,27,86,13,50,48,39,Good
101855,306,7,165,123,42,3,Mixed,2,Not applicable,74,25,89,10,55,44,53,Good
101856,306,7,139,100,39,3,Mixed,2,Not applicable,71,28,100,0,56,43,57,Good
101858,307,15,101,63,38,3,Mixed,2,Not applicable,62,37,0,22,25,74,0,Requires improvement
101860,307,15,115,60,55,3,Mixed,2,Not applicable,52,47,3,21,19,80,0,Outstanding
101861,307,15,130,81,49,3,Mixed,2,Not applicable,62,37,7,18,25,74,0,Outstanding
101862,307,15,143,82,61,3,Mixed,2,Not applicable,57,42,0,25,36,63,0,Outstanding
101867,307,1,379,191,188,3,Mixed,2,Not applicable,50,49,4,14,26,73,47,Good
101868,307,1,197,108,89,3,Mixed,2,Not applicable,54,45,6,13,37,62,52,Good
101869,307,1,335,170,165,3,Mixed,2,Not applicable,50,49,2,8,24,75,39,Good
101870,307,1,656,347,309,3,Mixed,2,Not applicable,52,47,3,11,51,48,19,Good
101873,307,1,474,238,236,3,Mixed,2,Not applicable,50,49,8,16,28,71,37,Good
101874,307,1,488,253,235,3,Mixed,2,Not applicable,51,48,2,8,70,29,28,Good
101875,307,1,454,227,227,3,Mixed,2,Not applicable,50,50,4,22,28,70,36,Good
101876,307,1,675,340,335,3,Mixed,2,Not applicable,50,49,4,13,35,64,29,Good
101877,307,1,438,235,203,3,Mixed,2,Not applicable,53,46,1,12,52,47,32,Good
101878,307,1,458,228,230,3,Mixed,2,Not applicable,49,50,7,11,19,80,22,Good
101879,307,1,423,222,201,3,Mixed,2,Not applicable,52,47,10,6,28,71,34,Good
101880,307,1,306,142,164,3,Mixed,2,Not applicable,46,53,2,17,57,42,38,Requires improvement
101881,307,1,391,199,192,3,Mixed,2,Not applicable,50,49,6,8,42,57,37,Good
101884,307,1,406,219,187,3,Mixed,2,Not applicable,53,46,3,6,11,88,25,Good
101885,307,1,646,347,299,3,Mixed,2,Not applicable,53,46,1,10,28,71,35,Good
101886,307,1,657,342,315,3,Mixed,2,Not applicable,52,47,4,9,41,58,34,Outstanding
101887,307,1,484,255,229,3,Mixed,2,Not applicable,52,47,1,8,11,89,23,Good
101888,307,1,422,222,200,3,Mixed,2,Not applicable,52,47,2,10,51,48,27,Good
101889,307,1,402,188,214,3,Mixed,2,Not applicable,46,53,3,24,31,68,47,Good
101890,307,1,352,166,186,3,Mixed,2,Not applicable,47,52,0,3,58,40,23,Outstanding
101891,307,1,247,122,125,3,Mixed,2,Not applicable,49,50,11,11,34,65,38,Good
101892,307,1,421,209,212,3,Mixed,2,Not applicable,49,50,2,8,5,95,24,Good
101893,307,1,457,236,221,3,Mixed,2,Not applicable,51,48,3,17,10,89,35,Good
101894,307,1,414,199,215,3,Mixed,2,Not applicable,48,51,1,14,21,78,34,Good
101895,307,1,422,207,215,3,Mixed,2,Not applicable,49,50,1,18,46,53,39,Good
101896,307,1,454,241,213,3,Mixed,2,Not applicable,53,46,1,13,11,89,19,Good
101897,307,1,994,509,485,3,Mixed,2,Not applicable,51,48,2,5,80,19,7,Outstanding
101898,307,1,900,444,456,3,Mixed,2,Not applicable,49,50,2,13,35,64,37,Outstanding
101899,307,1,638,347,291,3,Mixed,2,Not applicable,54,45,0,11,31,68,31,Good
101900,307,1,392,206,186,3,Mixed,2,Not applicable,52,47,9,11,15,84,37,Good
101901,307,1,685,358,327,3,Mixed,2,Not applicable,52,47,2,13,27,71,21,Good
101902,307,1,511,260,251,3,Mixed,2,Not applicable,50,49,6,15,40,59,41,Good
101903,307,1,536,269,267,3,Mixed,2,Not applicable,50,49,1,12,14,85,29,Good
101904,307,1,677,331,346,3,Mixed,2,Not applicable,48,51,2,7,78,21,10,Good
101905,307,1,450,241,209,3,Mixed,2,Not applicable,53,46,3,9,71,28,23,Outstanding
101906,307,1,452,216,236,3,Mixed,2,Not applicable,47,52,2,10,25,74,31,Outstanding
101907,307,1,375,187,188,3,Mixed,2,Not applicable,49,50,2,10,22,77,34,Good
101908,307,1,217,109,108,3,Mixed,2,Not applicable,50,49,2,14,35,65,48,Good
101909,307,1,232,108,124,3,Mixed,2,Not applicable,46,53,3,12,2,97,35,Good
101910,307,1,674,348,326,3,Mixed,2,Not applicable,51,48,2,7,1,98,30,Good
101911,307,1,460,216,244,3,Mixed,2,Not applicable,47,53,1,12,33,66,34,Outstanding
101912,307,1,674,357,317,3,Mixed,2,Not applicable,53,47,1,8,49,50,18,Good
101913,307,1,423,232,191,3,Mixed,2,Not applicable,54,45,1,13,11,88,30,Good
101916,307,1,447,227,220,3,Mixed,2,Not applicable,50,49,2,13,8,91,17,Outstanding
101919,307,2,407,200,207,3,Mixed,4,Roman Catholic,49,50,1,10,58,41,8,Good
101920,307,2,448,230,218,3,Mixed,4,Roman Catholic,51,48,2,12,50,49,23,Good
101921,307,2,404,196,208,3,Mixed,4,Roman Catholic,48,51,3,9,22,77,14,Good
101922,307,2,237,115,122,3,Mixed,4,Roman Catholic,48,51,0,13,41,58,28,Good
101923,307,2,354,188,166,3,Mixed,4,Roman Catholic,53,46,3,7,51,48,24,Good
101924,307,2,616,321,295,3,Mixed,4,Roman Catholic,52,47,3,9,48,51,14,Good
101925,307,2,507,246,261,3,Mixed,4,Roman Catholic,48,51,4,7,50,49,19,Good
101926,307,2,449,213,236,3,Mixed,4,Roman Catholic,47,52,4,11,49,50,24,Outstanding
101927,307,2,420,218,202,3,Mixed,1,Church of England,51,48,1,10,35,64,15,Good
101928,307,5,1484,785,699,3,Mixed,2,Not applicable,52,47,1,10,7,92,34,Outstanding
101934,307,2,1983,975,1008,3,Mixed,4,Roman Catholic,49,50,2,7,45,55,13,Outstanding
101939,307,5,1666,899,767,3,Mixed,2,Not applicable,54,46,1,11,36,63,39,Good
101940,307,5,1945,978,967,3,Mixed,2,Not applicable,50,49,3,9,27,72,34,Good
101941,307,5,1305,0,1305,2,Girls,2,Not applicable,0,100,1,10,34,65,32,Outstanding
101943,307,5,924,519,405,3,Mixed,2,Not applicable,56,43,1,8,47,52,40,Good
101953,307,10,91,79,12,3,Mixed,2,Not applicable,86,13,100,0,0,0,0,Outstanding
101958,307,11,309,179,130,3,Mixed,2,Not applicable,57,42,0,4,0,0,0,Inadequate
101959,309,11,60,35,25,3,Mixed,2,Not applicable,58,41,0,5,0,0,0,Good
101964,307,11,61,42,19,3,Mixed,2,Not applicable,68,31,24,16,0,0,0,Inadequate
101965,307,7,222,158,64,3,Mixed,2,Not applicable,71,28,100,0,39,60,59,Good
101966,307,7,170,126,44,3,Mixed,2,Not applicable,74,25,100,0,58,41,46,Outstanding
101968,307,7,158,118,40,3,Mixed,2,Not applicable,74,25,91,8,32,67,33,Outstanding
101969,307,7,136,84,52,3,Mixed,2,Not applicable,61,38,100,0,44,55,50,Good
101970,307,7,156,123,33,3,Mixed,2,Not applicable,78,21,100,0,67,32,48,Good
101971,307,7,109,77,32,3,Mixed,2,Not applicable,70,29,100,0,32,67,43,Outstanding
101981,308,1,381,191,190,3,Mixed,2,Not applicable,50,49,3,12,62,37,50,Good
101983,308,1,314,173,141,3,Mixed,2,Not applicable,55,44,6,19,35,65,45,Good
101984,308,1,397,202,195,3,Mixed,2,Not applicable,50,49,5,9,55,44,35,Good
101989,308,1,603,307,296,3,Mixed,2,Not applicable,50,49,4,15,41,58,22,Good
101992,308,1,309,157,152,3,Mixed,2,Not applicable,50,49,5,10,38,61,43,Good
101993,308,1,838,437,401,3,Mixed,2,Not applicable,52,47,3,14,47,52,30,Good
101994,308,1,207,115,92,3,Mixed,2,Not applicable,55,44,4,8,63,35,3,Good
101996,308,1,347,179,168,3,Mixed,2,Not applicable,51,48,3,9,56,43,22,Good
101997,308,1,365,202,163,3,Mixed,2,Not applicable,55,44,2,10,41,57,18,Good
101998,308,1,406,199,207,3,Mixed,2,Not applicable,49,51,4,18,45,54,48,Good
102002,308,1,579,298,281,3,Mixed,2,Not applicable,51,48,6,17,44,55,50,Good
102003,308,1,475,245,230,3,Mixed,2,Not applicable,51,48,4,5,43,56,19,Good
102004,308,1,447,228,219,3,Mixed,2,Not applicable,51,49,2,6,67,32,14,Good
102005,308,1,238,134,104,3,Mixed,2,Not applicable,56,43,7,16,48,51,49,Good
102006,308,1,282,136,146,3,Mixed,2,Not applicable,48,51,1,9,19,80,31,Good
102014,308,1,412,215,197,3,Mixed,2,Not applicable,52,47,2,9,15,84,33,Good
102022,308,1,430,223,207,3,Mixed,2,Not applicable,51,48,8,3,38,61,35,Good
102024,308,1,459,237,222,3,Mixed,2,Not applicable,51,48,3,9,48,51,50,Good
102025,308,1,629,325,304,3,Mixed,2,Not applicable,51,48,3,8,68,32,11,Outstanding
102026,308,2,284,143,141,3,Mixed,1,Church of England,50,49,2,9,22,77,32,Good
102027,308,2,106,54,52,3,Mixed,1,Church of England,50,49,1,19,81,18,16,Good
102028,308,2,227,109,118,3,Mixed,1,Church of England,48,52,2,9,79,19,18,Good
102029,308,2,407,186,221,3,Mixed,1,Church of England,45,54,2,3,85,15,17,Good
102030,308,2,197,95,102,3,Mixed,1,Church of England,48,51,2,6,70,29,19,Good
102031,308,2,207,108,99,3,Mixed,1,Church of England,52,47,4,15,50,49,35,Good
102032,308,2,283,153,130,3,Mixed,1,Church of England,54,45,3,11,26,73,43,Good
102033,308,2,190,93,97,3,Mixed,1,Church of England,48,51,4,8,68,31,43,Requires improvement
102034,308,2,441,230,211,3,Mixed,1,Church of England,52,47,4,6,73,27,15,Good
102035,308,2,415,207,208,3,Mixed,1,Church of England,49,50,1,7,97,2,3,Good
102036,308,2,373,205,168,3,Mixed,4,Roman Catholic,55,45,2,12,48,51,32,Good
102037,308,2,390,190,200,3,Mixed,4,Roman Catholic,48,51,5,13,26,73,38,Good
102038,308,2,560,285,275,3,Mixed,4,Roman Catholic,50,49,1,5,78,21,12,Good
102039,308,2,416,214,202,3,Mixed,4,Roman Catholic,51,48,2,8,78,21,5,Good
102040,308,2,196,92,104,3,Mixed,4,Roman Catholic,46,53,3,10,71,28,20,Good
102041,308,2,577,285,292,3,Mixed,1,Church of England,49,50,4,15,24,75,39,Good
102045,308,1,1677,833,844,3,Mixed,2,Not applicable,49,50,4,10,53,46,22,Good
102048,308,1,1103,0,1103,2,Girls,2,Not applicable,0,100,1,6,50,49,30,Good
102049,308,1,1084,557,527,3,Mixed,2,Not applicable,51,48,3,18,63,36,37,Good
102052,308,2,738,386,352,3,Mixed,1,Church of England,52,47,1,18,46,52,44,Good
102053,308,2,1071,0,1071,2,Girls,4,Roman Catholic,0,100,1,4,80,19,25,Outstanding
102054,308,2,192,96,96,3,Mixed,1,Church of England,50,50,5,14,66,33,37,Good
102055,308,2,1357,778,579,3,Mixed,2,Not applicable,57,42,0,0,77,21,8,Good
102056,308,5,677,369,308,3,Mixed,2,Not applicable,54,45,2,3,46,53,36,Requires improvement
102058,308,2,1107,1071,36,1,Boys,4,Roman Catholic,96,3,2,7,65,34,28,Good
102066,308,7,189,153,36,3,Mixed,2,Not applicable,81,19,99,0,57,42,64,Good
102067,308,12,444,325,119,3,Mixed,2,Not applicable,73,26,99,0,70,28,55,Outstanding
102069,308,7,137,90,47,3,Mixed,2,Not applicable,65,34,100,0,77,22,49,Good
102070,308,7,164,97,67,3,Mixed,2,Not applicable,59,40,100,0,56,43,56,Outstanding
102071,309,15,139,79,60,3,Mixed,2,Not applicable,56,43,2,30,28,71,0,Outstanding
102072,309,15,162,83,79,3,Mixed,2,Not applicable,51,48,1,14,52,46,0,Outstanding
102073,309,15,158,83,75,3,Mixed,2,Not applicable,52,47,1,10,73,26,0,Outstanding
102078,309,1,222,110,112,3,Mixed,2,Not applicable,49,50,2,15,47,52,20,Good
102079,309,1,212,105,107,3,Mixed,2,Not applicable,49,50,1,8,53,46,10,Good
102080,309,1,357,204,153,3,Mixed,2,Not applicable,57,42,2,10,63,36,24,Good
102081,309,1,327,162,165,3,Mixed,2,Not applicable,49,50,2,4,66,33,13,Outstanding
102084,309,1,213,101,112,3,Mixed,2,Not applicable,47,52,6,21,63,36,20,Good
102085,309,1,204,109,95,3,Mixed,2,Not applicable,53,46,3,10,68,31,11,Good
102087,309,1,357,162,195,3,Mixed,2,Not applicable,45,54,5,8,29,70,43,Good
102091,309,1,478,246,232,3,Mixed,2,Not applicable,51,48,2,18,35,64,41,Good
102092,309,1,445,238,207,3,Mixed,2,Not applicable,53,46,4,8,57,42,13,Good
102094,309,1,400,225,175,3,Mixed,2,Not applicable,56,43,3,14,30,69,47,Good
102097,309,1,656,365,291,3,Mixed,2,Not applicable,55,44,1,11,67,32,8,Outstanding
102098,309,1,418,219,199,3,Mixed,2,Not applicable,52,47,1,12,52,47,3,Good
102106,309,1,319,186,133,3,Mixed,2,Not applicable,58,41,5,17,75,23,22,Good
102107,309,1,266,135,131,3,Mixed,2,Not applicable,50,49,1,10,66,33,13,Good
102110,309,1,210,123,87,3,Mixed,2,Not applicable,58,41,1,16,64,35,17,Outstanding
102111,309,1,215,107,108,3,Mixed,2,Not applicable,49,50,4,4,69,30,8,Good
102115,309,1,203,99,104,3,Mixed,2,Not applicable,48,51,5,14,27,72,36,Good
102120,309,1,293,148,145,3,Mixed,2,Not applicable,50,49,4,11,15,84,54,Requires improvement
102121,309,1,876,496,380,3,Mixed,2,Not applicable,56,43,2,12,72,27,10,Outstanding
102124,309,1,485,247,238,3,Mixed,2,Not applicable,50,49,3,17,35,64,51,Requires improvement
102125,309,1,407,221,186,3,Mixed,2,Not applicable,54,45,4,13,19,80,38,Good
102127,309,1,148,71,77,3,Mixed,2,Not applicable,48,52,4,14,31,68,33,Good
102128,309,1,696,375,321,3,Mixed,2,Not applicable,53,46,2,7,74,26,5,Outstanding
102129,309,1,403,216,187,3,Mixed,2,Not applicable,53,46,2,16,59,40,27,Outstanding
102130,309,1,218,114,104,3,Mixed,2,Not applicable,52,47,4,9,58,41,18,Good
102131,309,1,473,236,237,3,Mixed,2,Not applicable,49,50,4,11,59,40,36,Outstanding
102132,309,3,215,107,108,3,Mixed,1,Church of England,49,50,6,10,81,18,11,Outstanding
102135,309,2,426,213,213,3,Mixed,1,Church of England,50,50,0,5,74,25,9,Outstanding
102136,309,2,193,94,99,3,Mixed,1,Church of England,48,51,1,10,73,26,6,Good
102139,309,2,425,208,217,3,Mixed,1,Church of England,48,51,3,12,69,30,41,Good
102142,309,2,408,196,212,3,Mixed,4,Roman Catholic,48,52,2,9,43,56,13,Outstanding
102143,309,2,320,165,155,3,Mixed,4,Roman Catholic,51,48,5,16,30,69,43,Good
102144,309,2,292,155,137,3,Mixed,4,Roman Catholic,53,46,3,26,11,88,26,Good
102145,309,2,171,84,87,3,Mixed,4,Roman Catholic,49,50,4,17,18,81,42,Good
102146,309,2,167,85,82,3,Mixed,4,Roman Catholic,50,49,6,11,13,86,16,Good
102147,309,2,136,62,74,3,Mixed,4,Roman Catholic,45,54,5,9,23,76,27,Good
102148,309,2,64,35,29,3,Mixed,4,Roman Catholic,54,45,7,4,85,14,17,Good
102149,309,2,198,106,92,3,Mixed,4,Roman Catholic,53,46,2,13,28,71,33,Good
102150,309,2,151,83,68,3,Mixed,4,Roman Catholic,55,45,6,6,41,58,23,Good
102151,309,2,121,64,57,3,Mixed,4,Roman Catholic,52,47,5,9,93,6,24,Good
102152,309,2,225,109,116,3,Mixed,4,Roman Catholic,48,51,3,11,44,56,24,Good
102153,309,1,754,0,754,2,Girls,2,Not applicable,0,100,2,12,70,28,35,Good
102154,309,1,1578,847,731,3,Mixed,2,Not applicable,53,46,2,16,77,21,23,Good
102156,309,5,1820,964,856,3,Mixed,2,Not applicable,53,47,2,15,79,20,11,Good
102157,309,1,1304,699,605,3,Mixed,2,Not applicable,53,46,3,13,49,50,53,Outstanding
102169,309,11,19,11,8,3,Mixed,2,Not applicable,57,42,0,5,0,0,0,Good
102171,204,11,747,0,747,2,Girls,3,Other religion,0,100,2,14,0,0,0,Requires improvement
102175,309,7,67,31,36,3,Mixed,2,Not applicable,46,53,100,0,47,52,56,Good
102176,309,7,107,59,48,3,Mixed,2,Not applicable,55,44,99,0,61,38,46,Good
102177,309,7,128,105,23,3,Mixed,2,Not applicable,82,18,100,0,64,35,65,Outstanding
102178,309,7,157,109,48,3,Mixed,2,Not applicable,69,30,100,0,40,59,71,Good
102181,310,1,455,226,229,3,Mixed,2,Not applicable,49,50,2,12,20,80,6,Good
102185,310,1,417,234,183,3,Mixed,2,Not applicable,56,43,3,12,40,59,20,Good
102186,310,1,650,321,329,3,Mixed,2,Not applicable,49,50,1,8,41,58,17,Good
102187,310,1,624,311,313,3,Mixed,2,Not applicable,49,50,3,5,61,38,7,Outstanding
102188,310,1,411,214,197,3,Mixed,2,Not applicable,52,47,1,7,13,86,26,Good
102189,310,1,652,341,311,3,Mixed,2,Not applicable,52,47,4,10,17,82,22,Outstanding
102193,310,1,324,187,137,3,Mixed,2,Not applicable,57,42,4,10,9,90,27,Good
102199,310,1,754,375,379,3,Mixed,2,Not applicable,49,50,1,9,44,55,13,Good
102202,310,1,495,255,240,3,Mixed,2,Not applicable,51,48,4,6,30,69,35,Good
102204,310,1,802,388,414,3,Mixed,2,Not applicable,48,51,1,7,37,62,5,Good
102207,310,1,885,464,421,3,Mixed,2,Not applicable,52,47,2,14,41,57,10,Outstanding
102209,310,1,855,423,432,3,Mixed,2,Not applicable,49,50,2,11,9,90,15,Good
102211,310,1,800,435,365,3,Mixed,2,Not applicable,54,45,3,21,31,69,22,Good
102212,310,1,298,167,131,3,Mixed,2,Not applicable,56,44,1,7,5,94,12,Good
102213,310,1,465,223,242,3,Mixed,2,Not applicable,48,52,1,4,30,69,18,Good
102214,310,1,739,370,369,3,Mixed,2,Not applicable,50,49,2,12,31,68,15,Good
102215,310,1,413,203,210,3,Mixed,2,Not applicable,49,50,0,7,23,76,28,Good
102216,310,1,648,363,285,3,Mixed,2,Not applicable,56,44,6,7,22,77,5,Good
102222,310,1,667,364,303,3,Mixed,2,Not applicable,54,45,2,12,14,84,19,Good
102223,310,1,668,355,313,3,Mixed,2,Not applicable,53,46,2,9,46,53,19,Outstanding
102224,310,1,639,315,324,3,Mixed,2,Not applicable,49,50,0,9,7,92,10,Requires improvement
102230,310,2,415,200,215,3,Mixed,4,Roman Catholic,48,51,1,16,50,49,8,Outstanding
102231,310,2,440,190,250,3,Mixed,4,Roman Catholic,43,56,2,12,50,49,20,Good
102239,310,1,1733,900,833,3,Mixed,2,Not applicable,51,48,3,5,30,69,29,Outstanding
102260,310,7,172,109,63,3,Mixed,2,Not applicable,63,36,100,0,45,54,43,Requires improvement
102268,311,1,398,215,183,3,Mixed,2,Not applicable,54,46,4,12,90,9,13,Good
102269,311,1,622,333,289,3,Mixed,2,Not applicable,53,46,2,10,75,24,19,Good
102272,311,1,420,211,209,3,Mixed,2,Not applicable,50,49,3,10,71,28,17,Good
102276,311,1,651,317,334,3,Mixed,2,Not applicable,48,51,1,4,67,32,25,Good
102278,311,1,384,207,177,3,Mixed,2,Not applicable,53,46,4,6,66,33,16,Good
102280,311,1,199,96,103,3,Mixed,2,Not applicable,48,51,3,9,65,34,27,Good
102283,311,1,453,230,223,3,Mixed,2,Not applicable,50,49,4,6,75,24,12,Good
102285,311,1,266,137,129,3,Mixed,2,Not applicable,51,48,2,10,66,33,19,Good
102291,311,1,699,391,308,3,Mixed,2,Not applicable,55,44,3,8,79,20,29,Outstanding
102294,311,1,403,194,209,3,Mixed,2,Not applicable,48,51,2,11,66,33,31,Good
102295,311,1,393,212,181,3,Mixed,2,Not applicable,53,46,3,6,60,38,18,Good
102299,311,1,900,444,456,3,Mixed,2,Not applicable,49,50,3,5,69,30,19,Good
102303,311,1,338,177,161,3,Mixed,2,Not applicable,52,47,3,8,77,22,26,Good
102304,311,1,269,127,142,3,Mixed,2,Not applicable,47,52,6,7,78,21,20,Good
102308,311,1,448,213,235,3,Mixed,2,Not applicable,47,52,2,4,62,37,7,Good
102309,311,1,317,151,166,3,Mixed,2,Not applicable,47,52,2,9,85,14,7,Outstanding
102312,311,1,546,273,273,3,Mixed,2,Not applicable,50,50,2,4,80,19,23,Good
102313,311,1,351,182,169,3,Mixed,2,Not applicable,51,48,2,13,83,16,9,Good
102314,311,1,318,156,162,3,Mixed,2,Not applicable,49,50,2,12,69,30,12,Good
102316,311,1,419,206,213,3,Mixed,2,Not applicable,49,50,2,3,67,32,8,Outstanding
102317,311,1,692,335,357,3,Mixed,2,Not applicable,48,51,3,6,62,36,32,Good
102319,311,1,416,219,197,3,Mixed,2,Not applicable,52,47,2,16,61,37,31,Good
102321,311,1,434,216,218,3,Mixed,2,Not applicable,49,50,5,3,75,24,7,Outstanding
102322,311,1,759,372,387,3,Mixed,2,Not applicable,49,51,4,9,68,31,36,Good
102324,311,1,447,222,225,3,Mixed,2,Not applicable,49,50,3,16,55,44,28,Good
102325,311,1,684,355,329,3,Mixed,2,Not applicable,51,48,2,15,64,35,28,Good
102328,311,2,665,354,311,3,Mixed,1,Church of England,53,46,3,6,70,28,15,Good
102329,311,2,420,220,200,3,Mixed,4,Roman Catholic,52,47,3,12,83,16,7,Good
102330,311,2,207,97,110,3,Mixed,4,Roman Catholic,46,53,2,7,48,51,18,Good
102331,311,2,389,196,193,3,Mixed,4,Roman Catholic,50,49,1,8,72,28,10,Good
102332,311,2,454,240,214,3,Mixed,4,Roman Catholic,52,47,4,10,51,48,15,Good
102334,311,2,418,198,220,3,Mixed,4,Roman Catholic,47,52,1,2,80,18,6,Good
102335,311,2,418,223,195,3,Mixed,4,Roman Catholic,53,46,2,7,73,26,10,Good
102336,311,2,208,108,100,3,Mixed,4,Roman Catholic,51,48,2,3,76,24,13,Good
102362,311,12,156,104,52,3,Mixed,2,Not applicable,66,33,100,0,88,11,33,Good
102365,312,15,147,76,71,3,Mixed,2,Not applicable,51,48,0,12,30,68,0,Good
102368,312,1,218,91,127,3,Mixed,2,Not applicable,41,58,0,12,38,61,19,Good
102369,312,1,650,347,303,3,Mixed,2,Not applicable,53,46,1,8,70,29,6,Good
102373,312,1,684,363,321,3,Mixed,2,Not applicable,53,46,1,12,65,34,31,Good
102375,312,1,227,108,119,3,Mixed,2,Not applicable,47,52,6,11,75,24,30,Good
102377,312,1,695,352,343,3,Mixed,2,Not applicable,50,49,2,11,62,37,18,Good
102379,312,1,327,145,182,3,Mixed,2,Not applicable,44,55,2,17,59,41,20,Outstanding
102380,312,1,634,313,321,3,Mixed,2,Not applicable,49,50,4,9,80,19,8,Good
102381,312,1,237,121,116,3,Mixed,2,Not applicable,51,48,3,24,84,16,24,Good
102382,312,1,199,110,89,3,Mixed,2,Not applicable,55,44,2,19,81,18,20,Good
102383,312,1,472,237,235,3,Mixed,2,Not applicable,50,49,3,9,56,43,14,Good
102384,312,1,216,112,104,3,Mixed,2,Not applicable,51,48,6,27,55,44,26,Good
102385,312,1,428,228,200,3,Mixed,2,Not applicable,53,46,2,10,52,47,25,Good
102388,312,1,628,325,303,3,Mixed,2,Not applicable,51,48,2,17,77,22,17,Good
102391,312,1,428,237,191,3,Mixed,2,Not applicable,55,44,2,8,18,81,38,Good
102392,312,1,445,215,230,3,Mixed,2,Not applicable,48,51,1,13,15,84,34,Good
102393,312,1,357,180,177,3,Mixed,2,Not applicable,50,49,2,15,71,28,11,Outstanding
102394,312,1,304,167,137,3,Mixed,2,Not applicable,54,45,0,18,82,17,8,Good
102399,312,1,382,199,183,3,Mixed,2,Not applicable,52,47,2,10,36,63,33,Good
102400,312,1,333,174,159,3,Mixed,2,Not applicable,52,47,2,10,80,19,8,Good
102403,312,1,463,209,254,3,Mixed,2,Not applicable,45,54,1,14,12,87,41,Good
102404,312,1,449,238,211,3,Mixed,2,Not applicable,53,47,3,11,16,83,30,Outstanding
102407,312,1,331,176,155,3,Mixed,2,Not applicable,53,46,0,17,55,45,27,Good
102408,312,1,632,324,308,3,Mixed,2,Not applicable,51,48,4,6,56,43,34,Good
102409,312,1,390,182,208,3,Mixed,2,Not applicable,46,53,1,7,82,17,9,Good
102411,312,1,357,186,171,3,Mixed,2,Not applicable,52,47,2,10,47,52,30,Good
102413,312,1,286,145,141,3,Mixed,2,Not applicable,50,49,2,14,82,17,11,Good
102414,312,1,420,202,218,3,Mixed,2,Not applicable,48,51,0,13,68,31,11,Good
102416,312,1,288,150,138,3,Mixed,2,Not applicable,52,47,2,6,59,40,26,Good
102417,312,2,223,116,107,3,Mixed,1,Church of England,52,48,5,12,84,15,23,Good
102418,312,2,187,96,91,3,Mixed,1,Church of England,51,48,4,14,78,21,14,Good
102420,312,2,451,209,242,3,Mixed,1,Church of England,46,53,1,17,44,54,20,Good
102421,312,2,234,120,114,3,Mixed,4,Roman Catholic,51,48,2,10,76,23,3,Outstanding
102422,312,2,706,353,353,3,Mixed,4,Roman Catholic,50,50,1,32,32,67,23,Good
